open,close,high,low
102.39750000000001,95.05499999999999,108.375,92.7075
95.07000000000001,94.8225,98.58,91.3725
94.86749999999999,89.36250000000001,95.505,89.36250000000001
89.1675,93.11250000000001,94.455,88.845
93.0975,91.245,93.53999999999999,90.36749999999999
91.395,95.3325,96.795,89.8125
95.4525,94.4325,97.305,94.42500000000001
94.4175,101.4375,103.3725,92.4525
101.66250000000001,99.8475,102.06,98.8575
99.6225,101.23499999999999,103.185,99.20250000000001
101.2575,96.91499999999999,101.88749999999999,96.6525
97.05000000000001,97.7775,98.58,96.195
98.14500000000001,98.78999999999999,99.53999999999999,97.32750000000001
98.6925,98.745,99.57,93.6675
98.7825,98.60249999999999,99.89999999999999,97.905
98.5275,97.23750000000001,98.82750000000001,96.33749999999999
97.27499999999999,95.28,101.715,95.01
